AccountId,AccountName,CloseDate,District,IsWon,ItemCategory,OpportunityId,OpportunityName,OpportunityOwner,"Opportunity_IsClosed",OwnerId,ProductCode,ProductFamily,Quantity,ResellerId,SalesOrder,SizeGb,StageName,SubDistrict,SubTheater,Theater,TotalPrice,UnitPrice,"_time"
0014000001TbSOEAA3,"AAA Western and Central New York, Inc.","2014-10-27",East,True,Subscription,0064000000aPSelAAG,"5GB Cloud","Scott Jamison",True,00540000001RaQSAA0,SCLD,Subscription,"1.0",,,"5.0","Closed Won (100%)",East,Territory,AMER,"1375.89","1375.89","2014-10-27T00:00:00.000-0700"
0014000000LDnKKAA1,"Harvard Business Publishing","2014-12-15",East,True,Subscription,0064000000bxF0DAAU,"Harvard Bus Pub - 20GB Cloud","Neal Poretsky",True,00540000001EETQAA4,"SCLD-20GB",Subscription,"1.0",,,"20.0","Closed Won (100%)","New England",Enterprise,AMER,"22080.0","22080.0","2014-12-15T00:00:00.000-0800"
0014000000OqKCPAA3,"Zs Associates, Inc.","2014-08-26",Central,True,Subscription,0064000000ZJ0gJAAT,"ZS Associates-SHI-5GB Cloud","Scott Phelps",True,00540000001z8umAAA,"SCLD-5GB",,"1.0",,,"5.0","Closed Won (100%)","North Central",Enterprise,AMER,"8100.0","8100.0","2014-08-26T00:00:00.000-0700"
00140000010isbxAAA,"Teck Resources Limited","2015-04-30",West,True,Subscription,0064000000eywuQAAQ,"50-100GB Upgrade","Ryan Heal",True,005400000021HbDAAU,"SE-S-CLD",Subscription,"50.0",,,"50.0","Closed Won (100%)",Northwest,"Major Accounts",AMER,"25205.48","504.1096","2015-04-30T00:00:00.000-0700"
0014000000deVZ0AAM,"DeVry Inc.","2015-06-25",Central,True,Subscription,0063300000en9QcAAI,"Devry Cloud 200GB core and ES via Hurricane","Rhonda Ball",True,00540000001DneeAAC,"SE-S-CLD",Subscription,"200.0",0014000000WTvPrAAL,,"200.0","Closed Won (100%)","North Central 1",Enterprise,AMER,"321750.0","1608.75","2015-06-25T00:00:00.000-0700"
00140000011OB1VAAW,"IDEXX Laboratories, Inc.","2014-03-18",Northeast,True,Subscription,0064000000UjKDcAAN,"IDEXX Lab - 25GB Cloud","John Dolino",True,00540000001ELznAAG,SCLD,Subscription,"1.0",,,"25.0","Closed Won (100%)","New England",Enterprise,AMER,"34000.0","34000.0","2014-03-18T00:00:00.000-0700"
00140000015zpWUAAY,"North Dakota University System","2014-09-03","Higher Ed",True,Subscription,0064000000XhYLzAAN,"North Dakota University System - Splunk Cloud - App Mgmt of ImageNow (PerceptiveSoftware) - 5GB","Peter Do",True,00540000001DZeiAAG,SCLD,Subscription,"1.0",,,"5.0","Closed Won (100%)","Higher Ed",SLED,"Public Sector","15000.0","15000.0","2014-09-03T00:00:00.000-0700"
0014000000mWWpsAAG,"Citrix Systems, Inc","2014-06-27",West,True,Subscription,0064000000UkaOkAAJ,"Citrix Systems - ShareFile","Jay Meindertsma",True,005400000020qNNAAY,SCLD,Subscription,"1.0",,,"50.0","Closed Won (100%)","NorCal 2","Major Accounts",AMER,"139850.0","139850.0","2014-06-27T00:00:00.000-0700"
0014000000lQ77uAAC,Motionsoft,"2014-01-28","Central West",True,Subscription,0064000000QAryIAAT,"Motionsoft - 10GB Splunk Cloud - IIS Logs","Jeremy Southers",True,00540000001RtFFAA0,SCLD,Subscription,"1.0",,,"0.0","Closed Won (100%)",East,Territory,AMER,"4800.0","4800.0","2014-01-28T00:00:00.000-0800"
0014000000wJevgAAC,"Defense.net","2014-01-23","Central West",True,Subscription,0064000000UhAI5AAN,"Defense.net-Cloud-10GB/90day","John Cress",True,00540000000oHPBAA2,SCLD,Subscription,"1.0",,,"0.0","Closed Won (100%)",West,Territory,AMER,"4800.0","4800.0","2014-01-23T00:00:00.000-0800"
0014000000PFinSAAT,"McKesson CIT","2014-04-30",Central,True,Subscription,0064000000WSjgjAAD,"McKesson - 50GB/60 Day Retention Cloud Opportunity Net New","Ken Duclos",True,00540000001RuHVAA0,SCLD,Subscription,"1.0",,,"50.0","Closed Won (100%)",Southeast,"Major Accounts",AMER,"35000.0","35000.0","2014-04-30T00:00:00.000-0700"
0014000000OqLoWAAV,"Sierra Pacific Mortgage Company, Inc.","2014-01-30",East,True,Subscription,0064000000Ui20RAAR,"Sierra Pac Mort 10G Cloud _ Paul","Sandhya Pallana",True,00540000001EOc8AAG,SCLD,Subscription,"1.0",,,"0.0","Closed Won (100%)",West,Territory,AMER,"4800.0","4800.0","2014-01-30T00:00:00.000-0800"
0014000000sGt2jAAC,EZLynx,"2015-01-07","Central West",True,Subscription,0064000000bxmZSAAY,"EzLynx - Cloud - App QA","Tim Mata",True,00540000000oHPHAA2,"SCLD-5GB",Subscription,"1.0",,41884,"5.0","Closed Won (100%)",Central,Territory,AMER,"8100.0","8100.0","2015-01-07T00:00:00.000-0800"
